# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
to_array_1d;(matrix m);real[];343
to_array_1d;(real[...] a);real[];343
to_array_1d;(row_vector v);real[];343
to_array_1d;(vector v);real[];343
to_array_2d;(matrix m);real[,];343
to_matrix;(int[,] a);matrix;342
to_matrix;(matrix m);matrix;342
to_matrix;(real[,] a);matrix;342
to_matrix;(row_vector v);matrix;342
to_matrix;(vector v);matrix;342
to_row_vector;(int[] a);row_vector;343
to_row_vector;(matrix m);row_vector;343
to_row_vector;(real[] a);row_vector;343
to_row_vector;(row_vector v);row_vector;343
to_row_vector;(vector v);row_vector;343
to_vector;(int[] a);vector;342
to_vector;(matrix m);vector;342
to_vector;(real[] a);vector;342
to_vector;(row_vector v);vector;342
to_vector;(vector v);vector;342
trace;(matrix A);real;339
trace_gen_quad_form;(matrix D,matrix A, matrix B);real;330
trace_quad_form;(matrix A, matrix B);real;330
trigamma;(real x);real;310
trunc;(real x);real;302
uniform;~;real;385
uniform_ccdf_log;(reals y, reals alpha, reals beta);real;385
uniform_cdf;(reals y, reals alpha, reals beta);real;385
uniform_cdf_log;(reals y, reals alpha, reals beta);real;385
uniform_log;(reals y, reals alpha, reals beta);real;385
uniform_rng;(real alpha, real beta);real;385
variance;(matrix x);real;332
variance;(real x[]);real;317
variance;(row_vector x);real;332
variance;(vector x);real;332
von_mises;~;real;383
von_mises_log;(reals y, reals mu, reals kappa);real;383
von_mises_rng;(reals mu, reals kappa);real;383
weibull;~;real;375
weibull_ccdf_log;(reals y, reals alpha, reals sigma);real;375
weibull_cdf;(reals y, reals alpha, reals sigma);real;375
weibull_cdf_log;(reals y, reals alpha, reals sigma);real;375
weibull_log;(reals y, reals alpha, reals sigma);real;375
weibull_rng;(real alpha, real sigma);real;375
wiener;~;real;378
wiener_log;(reals y, reals alpha, reals tau, reals beta, reals delta);real;378
wishart;~;real;397
wishart_log;(matrix W, real nu, matrix Sigma);real;397
wishart_rng;(real nu, matrix Sigma);matrix;397
